City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kristiinankaupunki,62.27,21.38,38.08,88,100,8.61,FI,1586378670
1,ushuaia,-54.8,-68.3,68.0,32,15,11.41,AR,1586378670
2,vangaindrano,-23.35,47.6,72.84,91,15,1.61,MG,1586378670
3,saskylakh,71.92,114.08,22.84,98,97,3.87,RU,1586378670
4,christchurch,-43.53,172.63,54.0,81,73,6.93,NZ,1586378670
5,new norfolk,-42.78,147.06,43.0,87,0,5.82,AU,1586378646
6,rikitea,-23.12,-134.97,76.51,81,73,10.89,PF,1586378670
7,yerbogachen,61.28,108.01,32.77,84,0,4.5,RU,1586378469
8,pevek,69.7,170.31,-3.39,92,100,5.59,RU,1586378671
9,mareeba,-17.0,145.43,69.8,88,90,9.17,AU,1586378394
10,batsfjord,70.63,29.72,37.4,80,75,19.46,NO,1586378671
11,bilma,18.69,12.92,83.3,13,99,14.56,NE,1586378671
12,qasigiannguit,68.82,-51.19,19.4,62,0,2.24,GL,1586378529
13,port alfred,-33.59,26.89,65.5,64,100,16.64,ZA,1586378640
14,bambanglipuro,-7.95,110.28,77.68,82,99,4.12,ID,1586378672
15,mataura,-46.19,168.86,51.01,92,100,15.99,NZ,1586378672
16,punta arenas,-53.15,-70.92,71.6,35,0,17.22,CL,1586378641
17,los llanos de aridane,28.66,-17.92,69.8,83,75,5.82,ES,1586378539
18,bredasdorp,-34.53,20.04,61.0,72,30,12.75,ZA,1586378672
19,geraldton,-28.77,114.6,66.2,88,10,8.05,AU,1586378381
20,vaini,-21.2,-175.2,75.2,100,90,47.2,TO,1586378672
21,jamestown,42.1,-79.24,55.99,66,1,11.41,US,1586378654
22,namatanai,-3.67,152.43,82.44,74,80,4.9,PG,1586378636
23,bambous virieux,-20.34,57.76,80.6,78,75,8.05,MU,1586378506
24,hermanus,-34.42,19.23,61.0,72,12,5.99,ZA,1586378673
25,carnarvon,-24.87,113.63,71.6,88,59,8.05,AU,1586378667
26,ken caryl,39.58,-105.12,71.6,16,20,5.12,US,1586378673
27,kavaratti,10.57,72.64,83.52,66,4,8.77,IN,1586378425
28,netivot,31.42,34.59,59.0,78,67,2.19,IL,1586378674
29,bintulu,3.17,113.03,78.8,94,75,2.24,MY,1586378674
30,hithadhoo,-0.6,73.08,84.83,68,84,10.27,MV,1586378674
31,takoradi,4.88,-1.76,81.82,84,3,5.99,GH,1586378674
32,lagoa,39.05,-27.98,60.96,86,0,11.3,PT,1586378674
33,severo-kurilsk,50.68,156.12,31.55,97,100,7.58,RU,1586378386
34,dikson,73.51,80.55,21.47,98,100,20.42,RU,1586378674
35,benjamin constant,-4.38,-70.03,75.2,94,75,5.82,BR,1586378675
36,klobuck,50.9,18.94,55.0,40,0,1.99,PL,1586378675
37,airai,-8.93,125.41,60.66,68,96,1.28,TL,1586378675
38,ahipara,-35.17,173.17,64.15,67,68,17.34,NZ,1586378405
39,nikolskoye,59.7,30.79,48.2,45,100,8.95,RU,1586378675
40,sai buri,6.7,101.62,78.6,85,8,8.84,TH,1586378675
41,sola,-13.88,167.55,81.25,72,32,0.65,VU,1586378410
